Timestamp,What year are you?,How frequently do you visit Fitrec on a weekly basis?,Which days do you work out regularly?,Which timeslot do you work out the most in?,"On a scale of 1 - 5, how would would rank the crowdedness at the gym in your selected timeslot? (1 being really empty with no wait time, and 5 being running a 6 person work-in session.) ","Does weather, such as rain or snow, ever influence your decision to skip the gym on certain days?","Do exams (midterms, finals) or projects affect the frequency of your gym visits?","If you said yes to the previous question, which month(s) would you say you visit the gym less than regular?","Do you use the Fitrec during holidays such as Thanksgiving, Indigineous Peoples Day?"
10/25/2024 12:30:14,Junior,3 - 5 times,"Monday, Wednesday, Friday, Sunday",9 PM to 11 PM,4,yes,yes,"November, December",no
10/25/2024 12:30:54,Senior,0 - 2 times,"Monday, Tuesday, Wednesday, Sunday",6 PM to 9 PM,4,no,yes,December,no
10/26/2024 13:09:43,Senior,3 - 5 times,"Monday, Wednesday, Friday",9 AM to 12 PM,2,no,yes,"October, December",no
10/26/2024 16:06:45,Sophomore,3 - 5 times,"Monday, Tuesday, Thursday, Friday",6 PM to 9 PM,3,no,yes,September,no
10/28/2024 20:45:47,Junior,3 - 5 times,"Monday, Tuesday, Wednesday, Friday",12 PM to 3 PM,2,no,yes,"October, December",no
10/28/2024 20:46:20,Junior,0 - 2 times,Sunday,9 AM to 12 PM,3,yes,yes,October,no
10/28/2024 20:48:14,Sophomore,0 - 2 times,Friday,3 PM to 6 PM,4,yes,yes,"November, December",no
10/28/2024 22:14:53,Junior,3 - 5 times,"Monday, Wednesday, Friday",9 AM to 12 PM,2,no,yes,"October, December",no
10/28/2024 23:55:23,Sophomore,3 - 5 times,"Monday, Tuesday, Wednesday, Thursday",6 PM to 9 PM,3,no,no,,yes
10/29/2024 1:25:58,Junior,3 - 5 times,"Monday, Wednesday, Friday, Saturday",3 PM to 6 PM,5,no,no,,no
10/30/2024 16:32:36,Senior,6 - 7 times,"Monday, Tuesday, Wednesday, Thursday, Friday, Sunday",6 PM to 9 PM,4,yes,yes,October,yes
10/30/2024 16:32:53,Graduate Student,0 - 2 times,"Monday, Tuesday, Thursday, Saturday",9 PM to 11 PM,2,yes,yes,"October, December",no
10/30/2024 16:43:04,Senior,0 - 2 times,,,,no,no,,no
10/30/2024 16:44:33,Senior,3 - 5 times,"Monday, Tuesday, Wednesday, Thursday",12 PM to 3 PM,2,yes,yes,October,yes
10/30/2024 16:50:28,Senior,3 - 5 times,"Thursday, Friday, Saturday, Sunday",3 PM to 6 PM,5,yes,yes,October,yes
10/30/2024 16:50:38,Graduate Student,3 - 5 times,"Tuesday, Wednesday, Thursday",12 PM to 3 PM,3,yes,yes,October,no
10/30/2024 16:58:31,Senior,3 - 5 times,"Monday, Wednesday, Friday, Saturday, Sunday",6 PM to 9 PM,4,no,yes,"October, December",yes
10/30/2024 17:08:29,Senior,0 - 2 times,"Monday, Friday",6 PM to 9 PM,5,yes,yes,"October, December",no
10/30/2024 17:10:42,Senior,0 - 2 times,"Monday, Wednesday",9 AM to 12 PM,3,no,yes,December,no
10/30/2024 17:12:06,Senior,3 - 5 times,"Monday, Wednesday, Friday, Saturday",9 AM to 12 PM,3,yes,yes,"October, December",no
10/30/2024 17:16:18,Graduate Student,3 - 5 times,"Monday, Wednesday, Friday",9 PM to 11 PM,3,yes,yes,"October, December",yes
10/30/2024 17:22:14,Freshman,0 - 2 times,"Tuesday, Thursday",6 PM to 9 PM,3,yes,yes,"October, December",no
10/30/2024 17:22:58,Senior,0 - 2 times,"Wednesday, Saturday",9 PM to 11 PM,4,yes,no,September,yes
10/30/2024 17:23:41,Senior,0 - 2 times,Saturday,12 PM to 3 PM,5,yes,yes,"October, November, December",yes
10/30/2024 17:29:51,Senior,0 - 2 times,"Tuesday, Thursday, Friday",12 PM to 3 PM,2,yes,yes,December,no
10/30/2024 17:33:28,Senior,0 - 2 times,,3 PM to 6 PM,3,yes,yes,December,yes
10/30/2024 17:34:11,Senior,3 - 5 times,"Monday, Tuesday, Thursday, Friday, Saturday",3 PM to 6 PM,4,yes,yes,November,yes
10/30/2024 17:34:31,Senior,3 - 5 times,"Monday, Tuesday, Wednesday, Friday, Saturday",6 PM to 9 PM,4,yes,yes,October,yes
10/30/2024 17:36:05,Senior,3 - 5 times,"Monday, Tuesday, Thursday, Friday",6 PM to 9 PM,4,,yes,December,yes
10/30/2024 17:37:43,Senior,3 - 5 times,"Monday, Tuesday, Thursday, Friday",6 PM to 9 PM,5,no,yes,October,no
10/30/2024 17:42:50,Junior,6 - 7 times,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",9 AM to 12 PM,3,no,yes,November,no
10/30/2024 17:51:29,Sophomore,3 - 5 times,"Monday, Wednesday, Friday, Saturday, Sunday",6 PM to 9 PM,5,yes,yes,December,no
10/30/2024 17:51:42,Senior,3 - 5 times,"Monday, Tuesday, Wednesday, Thursday, Friday",6 PM to 9 PM,4,no,no,,no
10/30/2024 17:57:35,Senior,3 - 5 times,"Monday, Tuesday, Thursday, Friday, Saturday",6 PM to 9 PM,4,no,yes,October,yes
10/30/2024 17:58:13,Sophomore,3 - 5 times,"Monday, Tuesday, Thursday, Friday, Sunday",12 PM to 3 PM,2,yes,no,,no
10/30/2024 18:01:58,Senior,0 - 2 times,"Tuesday, Thursday",6 AM to 9 AM,3,yes,yes,"October, November",no
10/30/2024 18:04:34,Sophomore,3 - 5 times,"Monday, Wednesday, Thursday, Friday, Saturday",6 PM to 9 PM,4,no,yes,"November, December",yes
10/30/2024 18:06:58,Junior,6 - 7 times,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",6 PM to 9 PM,4,no,yes,December,no
10/30/2024 18:16:15,Sophomore,3 - 5 times,"Monday, Wednesday, Friday, Sunday",9 PM to 11 PM,3,yes,yes,"October, December",no
10/30/2024 18:20:54,Senior,0 - 2 times,"Saturday, Sunday",6 AM to 9 AM,3,yes,yes,"November, December",no
10/30/2024 18:31:24,Sophomore,6 - 7 times,"Monday, Tuesday, Wednesday, Thursday, Saturday, Sunday",12 PM to 3 PM,2,no,no,December,yes
10/30/2024 18:35:42,Senior,3 - 5 times,"Tuesday, Thursday, Saturday",6 PM to 9 PM,5,yes,yes,"November, December",yes
10/30/2024 18:50:16,Junior,6 - 7 times,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",6 AM to 9 AM,4,no,no,,no
10/30/2024 18:52:44,Senior,0 - 2 times,"Monday, Tuesday, Wednesday, Thursday",9 PM to 11 PM,2,no,yes,"October, December",no
10/30/2024 19:34:28,Freshman,0 - 2 times,,,,yes,no,,no
10/30/2024 19:35:35,Freshman,0 - 2 times,,6 AM to 9 AM,4,yes,yes,"October, December",no
10/30/2024 19:36:52,Sophomore,6 - 7 times,"Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",6 PM to 9 PM,4,yes,yes,December,yes
10/30/2024 20:00:35,Graduate Student,0 - 2 times,"Monday, Wednesday, Friday",6 PM to 9 PM,3,yes,yes,December,no
10/30/2024 20:13:43,Senior,3 - 5 times,"Tuesday, Friday, Saturday, Sunday",3 PM to 6 PM,4,yes,yes,October,yes
10/30/2024 21:07:40,Sophomore,3 - 5 times,"Monday, Wednesday, Saturday, Sunday",6 PM to 9 PM,5,no,yes,December,no
10/30/2024 21:10:33,Junior,6 - 7 times,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",3 PM to 6 PM,4,yes,yes,"November, December",no
10/30/2024 21:12:10,Junior,3 - 5 times,"Tuesday, Wednesday, Thursday",6 PM to 9 PM,5,yes,yes,December,yes
10/30/2024 21:12:49,Junior,6 - 7 times,"Monday, Tuesday, Wednesday, Thursday, Friday",3 PM to 6 PM,4,yes,yes,December,no
10/30/2024 21:13:31,Junior,0 - 2 times,Wednesday,6 PM to 9 PM,2,no,yes,September,no
10/30/2024 21:16:16,Senior,0 - 2 times,"Tuesday, Thursday, Friday",9 PM to 11 PM,4,no,yes,December,no
10/30/2024 21:16:58,Junior,3 - 5 times,"Monday, Wednesday, Thursday, Friday",3 PM to 6 PM,4,yes,yes,"November, December",no
10/30/2024 21:32:31,Senior,0 - 2 times,,6 PM to 9 PM,3,yes,yes,December,yes
10/30/2024 22:05:12,Senior,3 - 5 times,"Monday, Tuesday, Friday, Sunday",9 PM to 11 PM,5,yes,yes,December,yes
10/30/2024 22:51:42,Junior,3 - 5 times,"Monday, Tuesday, Wednesday, Thursday",6 PM to 9 PM,4,no,yes,December,no
10/30/2024 22:51:55,Graduate Student,6 - 7 times,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",9 PM to 11 PM,3,no,yes,December,yes
10/30/2024 23:17:19,Junior,0 - 2 times,,,,,,,
10/30/2024 23:22:15,Senior,3 - 5 times,"Monday, Tuesday, Wednesday, Thursday",9 PM to 11 PM,5,yes,yes,December,yes
10/30/2024 23:54:48,Junior,0 - 2 times,,,,,,,
10/31/2024 0:54:36,Junior,0 - 2 times,"Tuesday, Thursday",6 PM to 9 PM,4,yes,yes,"October, November, December",no
10/31/2024 10:02:54,Junior,3 - 5 times,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",9 PM to 11 PM,3,yes,no,,yes
10/31/2024 10:53:02,Junior,0 - 2 times,,,,,,,
10/31/2024 10:58:49,Graduate Student,0 - 2 times,,,,,,,
10/31/2024 11:46:00,Junior,6 - 7 times,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",6 PM to 9 PM,3,no,yes,October,yes
10/31/2024 12:54:09,Junior,0 - 2 times,"Saturday, Sunday",3 PM to 6 PM,3,yes,yes,"November, December",no
10/31/2024 13:28:32,Senior,3 - 5 times,"Tuesday, Friday, Saturday, Sunday",6 AM to 9 AM,1,no,yes,"October, December",no
10/31/2024 15:38:49,Junior,0 - 2 times,"Friday, Saturday",6 PM to 9 PM,4,yes,yes,"November, December",no
10/31/2024 19:26:29,Freshman,0 - 2 times,"Monday, Tuesday, Wednesday, Friday",9 AM to 12 PM,4,yes,yes,October,no
11/1/2024 8:37:53,Senior,3 - 5 times,"Monday, Wednesday, Friday",12 PM to 3 PM,3,no,yes,October,yes
11/3/2024 0:00:14,Junior,0 - 2 times,,,,yes,yes,,
11/4/2024 14:18:46,Senior,3 - 5 times,"Monday, Tuesday, Wednesday, Friday, Saturday",6 PM to 9 PM,5,yes,yes,"October, December",yes
